title,content
The Memeification Of Breonna Taylor's Death,Turning Breonna Taylor into a meme risks turning the conversation around what justice looks like for her into a temporary fad.
Congressional Black Caucus Offers Morality Test To Trump Budget,The group of Black lawmakers aim to make Trump's budget priorities an indictment of his character.
#OscarsSoWhite Creator Launches Media Resource Directory For Marginalized Groups,“It’s clear from the response that this is a resource that was needed ... People were waiting to be seen.”
Beyond The Dab: 8 Reasons Why Migos Has Become Hip-Hop's Trendsetters,"There's more to the group than their proclivity for the ""bad and boujee."""
Octavia Spencer Joins Taraji P. Henson In Space Drama 'Hidden Figures',Octavia Spencer will help Taraji P. Henson put an American in space.
Prince Barely Kept His Cool The First Time He Met Muhammad Ali,"""He could have said, 'mow the lawn,' and I would have been down with it."""
"Sudden Cardiac Arrest More Likely In African-Americans, New Study Says","(Reuters Health) - Black Americans are more likely to suffer sudden cardiac arrest than their white counterparts, a new study"
Why Charlottesville Did Not Surprise Me,"After taking a history tour of the South, Charlottesville was hard, but not impossible, to believe."
'Unsung': Behind The (Black) Music,Though it seems that VH1's storied documentary-style series Behind the Music has been put out to pasture for more raunchy
Hillary Clinton Taps Jay Z To Urge Young Black Americans To Vote,The hip hop mogul will perform at a get-out-the-vote concert in Cleveland.
7 Hacks for the Ultimate Sales Meeting,"There are a few easy ways to improve a typical sales meeting. By following these simple rules that I've found work well over the years, you can help ensure the success of your business meetings -- both the ones you hold with your staff and the ones where you make the actual sales."
5 Reasons Shopping at Walmart Makes You a Scrooge This Holiday Season,"Employing this many workers may make the company seem virtuous and altruistic, but the business model is not a model other companies should emulate."
Uber To Begin Testing Fleet Of Self-Driving Cars In Pittsburgh This Month,The vehicles will see regular public use.
Earning Less Money Isn't A Choice That Women Just Make,The pay gap is a complicated cultural stew.
It Could Happen To You: A Story Of SEC Overreach,I know how it feels to be falsely accused. I know how it feels to be pursued for seven years by an overzealous government
Goldman Sachs' Plan To Get More Older Women Back To Work,The odds are stacked against women over 50 who want to return to work. This program tries to help them.
Chili's Cancels Plan To Fundraise For Anti-Vaccination Autism Group (UPDATE),"-- Those looking to contact Chili's can do so through its website. On April 7, the restaurant chain will be donating 10 percent"
To The Woman With The Expired Coupon,Your bullying tactics are exactly what makes me embarrassed to be a consumer.
Solar Jobs Fell For The First Time In 7 Years In 2017. Now Trump Could Make It Worse.,The new tariffs the White House announced last month are likely to make things worse for the industry.
Just One-Fifth Of Goldman Sachs Execs Are Women,Female leadership at the bank is below the national average.
The People Of Haiti Take Great Delight In Roasting Donald Trump On 'Conan',"""We have beautiful golf courses here, Mr. President. Please come cheat on them."""
'Daily Show' Teases Trump And Fox News Over Eclipse Reactions,Jeff Sessions looks so whimsical!
Bill Maher Tells Donald Trump To 'F**k Mars’ And Make Earth Great Again,"""If we are going to take the challenge to overhaul a planet, let's do this one."""
Jonah Hill Hilariously Flexes Bad Acting Chops In WTF Sneaker Ad,"“Hello, skateboard friend.”"
Puppies Predict The Kentucky Derby On 'Fallon' (VIDEO),"For the best prediction of who will win the Kentucky Derby, look no further than this puppy from ""Late Night with Jimmy Fallon"
Kim Jong-Un Wouldn't Be Upstaged By Trump's Commencement Addresses,"""Dance like no one is watching. Though, for the record, we are."""
27 Mind-Blowing Photos,"April 20 is all about expanding your mind and being mesmerized by the beauty of the world around us. Or, maybe it's just"
This May Be Bill Maher's Most Intense Rant Against Religions – All Of Them - Yet,"You're probably going to be hearing a lot about Bill Maher's latest ""New Rule"" in the coming days. Mostly because in it, he"
Samantha Bee Uses 4 Words To Describe Devin Nunes' Secret Memo,One guess as to what they are.
Donald Trump's Whiny Tweets Are Actually Perfect As Emo Lyrics,We know!
$1 Million Reward Offered For Return Of Stolen 'Wizard Of Oz' Slippers,Surrender Dorothy's shoes! A pair of the famed ruby slippers worn by Judy Garland's Dorothy in the Wizard of Oz have been
Patrick Stewart On The Joy Of Being Whipped With Wet Towels,"The actor discusses the new show ""Blunt Talk"" and why it's taken him so long to embrace comedy."
Scarlett Johansson Slams James Franco For Support Of Time's Up At Women's March,"""I want my pin back by the way,"" she said."
'Sesame Street' Gives 'Orange Is The New Black' A Tasty Twist,"Can you tell us how to get, how to get to Litchfield Academy?"
"Robin Thicke, Carter Thicke Remember Their Late Father","""The greatest man I ever met.”"
Actor Leslie Jordan Gladly Gave His Bed In Jail To Robert Downey Jr.,"The ""Will & Grace"" actor hilariously recalled his time behind bars when the future ""Iron Man"" star also was serving time."
James Corden Turns Justin Bieber Lyrics Into A Soap Opera,"And we're not ""Sorry."""
Rookie From Low Minors Hits Home Run On His First MLB Swing. Parents Erupt.,Akil Baddoo of the Detroit Tigers had never played above Single-A ball.
Jean-Claude Van Damme Explains Why His Ball-Punching Move 'Always Works' In Real Life,"But the star of the now-canceled “Jean-Claude Van Johnson” is looking for a new signature move, if you’ve got any ideas."
Cosmo Declares The Kardashians 'America's First Family',So much for the Obamas.
Why Is Chocolate Rarely Wrapped in Foil and Paper These Days?,"There are also some manufacturers, Alfred Ritter and their Ritter-Sport bars come to mind, who have tried to create flow"
16 Ways To Improve Your Veggie Burger (Photos),"As a vegetarian, or someone who is trying to eat less meat, a veggie burger makes a quick and easy meal (even easier than"
Bacon And Eggs Pillow And Sleep Mask,Nap time has never been this fun.
Amazing Desserts Around the World You've Never Heard Of,"Whether you're a food fanatic or just have a very sweet tooth, you probably enjoy a good dessert. We're all familiar with the delights of a baked apple pie, or even more international dishes like Italian tiramisu, or Asian green-tea ice cream."
"Mendoza, Home of Wine and Rock","People in Mendoza, the province that makes the lion's share of Argentine wine, care a lot about rock. They care about the kind that underpins great terroir, but they also care about the kind you can blast from your stereo. Wine and music are inseparable in Mendoza -- but why?"
The 10 Salad Dressings to Know,10 essential salad dressings to know -- just add lettuce.
The Faroe Islands: More Than Fermented Sheep,Honest Cooking Editor in Chief Kalle Bergman went to the Faroe Islands to feast on some of the best seafood in the world.
Veggie Crack,"This Mexican-inspired salad is referred to as ""veggie crack"" because it so addictive."
Berry Coconut Frozen Yogurt: Leftovers Achieve Their Full Potential,Berry Coconut Frozen Yogurt is the flirty little sundress of desserts.
5 Things You Didn't Know You Could Make in the Microwave,You may want to give your microwave a second look.
Affordable Care Act Linked To Fewer Cardiac Arrests In Oregon,"Incidence of the often-fatal heart condition fell 17 percent among middle-aged adults in Multnomah County, a study finds."
Why Home Isn't A Place Right Now: A 20-Something's Confession Of Creating Comfort,My home has lost its address and its front lawn. Home is simply: me.
What You Need To Know About The 'Herbal Viagra' Linked To Lamar Odom,They can contain active ingredients that are in real Viagra.
10 Tips to Keep Your Pet Safe in Cold Weather,"Some pets won't wear items of clothing no matter how chilly they are. But if your pet tolerates it well, a sweater can help keep your dog warm, especially when you take her outdoors."
A Simple Experiment in Empathy,After the phone call I feel like a tiny tear in the fabric of my own humanity has been restored. All through this simple experiment in empathy.
12 Years Since My Father Ended His Life,"Twelve years since my father ended his life and after making every possible mistake, I have found my way back to happiness through love and forgiveness. For myself, for my father, for those who loved me but were unable to connect to my grief."
4 Ways Caffeine Keeps You From Realizing Your Potential,Today's tip for improving your performance is one of the most simple and straightforward methods I’ve provided thus far. For
10 Get-Fit Secrets From Our Favorite Celebs,Totally doable tips to staying slim and fit from some of our favorite healthy ladies. Which star's trick works best for you?
People With Alzheimer's May Have More Bacteria In Their Brains,Alzheimer’s is a progressive brain disease in which brain cells become damaged and die.
4 Common Carcinogens That Put Bacon In Perspective,Air pollution and alcohol are also linked to cancer.
11 Homes for Sale With Horses as Home Decor,"While most of the press lately about horses regards their meat ending up in IKEA's meatballs, horses have also recently been discovered in other, more pleasant places."
